text,label,processed_text
"1. Александр Пушкин - У лукоморья дуб зелёный
У лукоморья дуб зелёный;
Златая цепь на дубе том:
И днём и ночью кот учёный
Всё ходит по цепи кругом;
Идёт направо — песнь заводит,
Налево — сказку говорит.
Там чудеса: там леший бродит,
Русалка на ветвях сидит;
Там на неведомых дорожках
Следы невиданных зверей;
Избушка там на курьих ножках
Стоит без окон, без дверей;
Там лес и дол видений полны;
Там о заре прихлынут волны
На брег песчаный и пустой,
И тридцать витязей прекрасных
Чредой из вод выходят ясных,
И с ними дядька их морской;
Там королевич мимоходом
Пленяет грозного царя;
Там в облаках перед народом
Через леса, через моря
Колдун несёт богатыря;
В темнице там царевна тужит,
А бурый волк ей верно служит;
Там ступа с Бабою Ягой
Идёт, бредёт сама собой,
Там царь Кащей над златом чахнет;
Там русский дух… там Русью пахнет!
И там я был, и мёд я пил;
У моря видел дуб зелёный;
Под ним сидел, и кот учёный
Свои мне сказки говорил.",1,александр пушкин лукоморье дуб зеленый лукоморье дуб зеленый златой цепь дубе день ночь кот ученый ходить цепь кругом идти направо песня заводить налево сказка говорить чудо леший бродить русалка ветвь сидеть неведомый дорожка след невиданный зверь избушка курий ножка стоить окно дверь лес дол видение полный заря прихлынут волна брег песчаный пустой тридцать витязь прекрасный чреда вода выходить ясных дядька морской королевич мимоходом пленять грозный царь облако народ лес море колдун нести богатырь темница царевна тужить бурый волк верно служить ступа баба яга идти брести царь кить златой чахнуть русский дух русь пахнуть мед пить море видеть дуб зеленый сидеть кот ученый свой сказка говорить
"2. Александр Пушкин - Пророк
Духовной жаждою томим,
В пустыне мрачной я влачился, —
И шестикрылый серафим
На перепутье мне явился.
Перстами легкими как сон
Моих зениц коснулся он.
Отверзлись вещие зеницы,
Как у испуганной орлицы.
Моих ушей коснулся он, —
И их наполнил шум и звон:
И внял я неба содроганье,
И горний ангелов полет,
И гад морских подводный ход,
И дольней лозы прозябанье.
И он к устам моим приник,
И вырвал грешный мой язык,
И празднословный и лукавый,
И жало мудрыя змеи
В уста замершие мои
Вложил десницею кровавой.
И он мне грудь рассек мечом,
И сердце трепетное вынул,
И угль, пылающий огнем,
Во грудь отверстую водвинул.
Как труп в пустыне я лежал,
И бога глас ко мне воззвал:
«Восстань, пророк, и виждь, и внемли,
Исполнись волею моей,
И, обходя моря и земли,
Глаголом жги сердца людей».",1,александр пушкин пророк духовный жажда томить пустыня мрачный влачиться шестикрылый серафим перепутье явиться перст легкое сон зеница коснуться отверзтись вещий зеница испуганный орлицы ухо коснуться наполнить шум звон внять небо содрогание горний ангел полет гад морской подводный ход дольний лоза прозябание уста приникнуть вырвать грешный язык празднословный лукавый жало мудрыя змея уста замершие вложить десницею кровавый грудь рассечь меч сердце трепетный вынуть уголь пылать огонь грудь отверстый водвинуть труп пустыня лежать бог глас воззвать восстать пророк виждь внемлить исполниться воля обходить море земля глаголом жечь сердце человек
3. Александр Пушкин - Узник.,1,александр пушкин узник
"Сижу за решеткой в темнице сырой.
Вскормленный в неволе орел молодой,
Мой грустный товарищ, махая крылом,
Кровавую пищу клюет под окном,
Клюет, и бросает, и смотрит в окно,
Как будто со мною задумал одно.
Зовет меня взглядом и криком своим
И вымолвить хочет: «Давай улетим!
Мы вольные птицы; пора, брат, пора!
Туда, где за тучей белеет гора,
Туда, где синеют морские края,
Туда, где гуляем лишь ветер… да я!..»",1,сидеть решетка темница сырой вскормить неволя орел молодой грустный товарищ махая крыло кровавый пища клевать окно клевать бросать смотреть окно задумать звать взгляд крик свой вымолвить хотеть давай улететь вольный птица пора брат пора туда туча белеть гора туда синеть морской край туда гулять лишь ветер
"4.Александр Пушкин - Анчар
В пустыне чахлой и скупой,
На почве, зноем раскаленной,
Анчар, как грозный часовой,
Стоит — один во всей вселенной.
Природа жаждущих степей
Его в день гнева породила,
И зелень мертвую ветвей
И корни ядом напоила.
Яд каплет сквозь его кору,
К полудню растопясь от зною,
И застывает ввечеру
Густой прозрачною смолою.
К нему и птица не летит,
И тигр нейдет: лишь вихорь черный
На древо смерти набежит —
И мчится прочь, уже тлетворный.
И если туча оросит,
Блуждая, лист его дремучий,
С его ветвей, уж ядовит,
Стекает дождь в песок горючий.
Но человека человек
Послал к анчару властным взглядом,
И тот послушно в путь потек
И к утру возвратился с ядом.
Принес он смертную смолу
Да ветвь с увядшими листами,
И пот по бледному челу
Струился хладными ручьями;
Принес — и ослабел и лег
Под сводом шалаша на лыки,
И умер бедный раб у ног
Непобедимого владыки.
А царь тем ядом напитал
Свои послушливые стрелы
И с ними гибель разослал
К соседям в чуждые пределы.",1,александр пушкин анчар пустыня чахлый скупой почва зной раскалить анчар грозный часовой стоить весь вселенная природа жаждать степь день гнев породить зелень мертвый ветвь корень напоить капать сквозь кора полдень растопясь зной застывать ввечеру густой прозрачный смола птица лететь тигр нейти лишь вихрь черный древо смерть набежать мчаться прочь тлетворный туча оросить блуждая лист дремучий ветвь ядовитый стекать дождь песок горючий человек человек послать анчар властный взгляд послушно путь потек утро возвратиться принести смертный смола ветвь увядший лист пот бледный чело струиться хладный ручей принести ослабеть лечь свод шалаш лыко умереть бедный раб нога непобедимый владыка царь напитать свой послушливый стрела гибель разослать сосед чуждый предел
"5. Александр Пушкин -  К Чаадаеву
Любви, надежды, тихой славы
Недолго нежил нас обман,
Исчезли юные забавы,
Как сон, как утренний туман;
Но в нас горит еще желанье,
Под гнетом власти роковой
Нетерпеливою душой
Отчизны внемлем призыванье.
Мы ждем с томленьем упованья
Минуты вольности святой,
Как ждет любовник молодой
Минуты верного свиданья.
Пока свободою горим,
Пока сердца для чести живы,
Мой друг, отчизне посвятим
Души прекрасные порывы!
Товарищ, верь: взойдет она,
Звезда пленительного счастья,
Россия вспрянет ото сна,
И на обломках самовластья
Напишут наши имена!",1,александр пушкин чаадаев любовь надежда тихий слава недолго нежил обман исчезнуть юный забава сон утренний туман гореть желание гнет власть роковой нетерпеливый душа отчизна внемлемый призывание ждать томление упование минута вольность святой ждать любовник молодой минута верный свиданья пока свободою горим пока сердце честь живой друг отчизна посвятить душа прекрасный порыв товарищ верь взойти звезда пленительный счастие россия вспрянет сон обломок самовластие написать наш имя
"6.Михаил Лермонтов - Бородино
— Скажи-ка, дядя, ведь не даром
Москва, спаленная пожаром,
Французу отдана?
Ведь были ж схватки боевые,
Да, говорят, еще какие!
Недаром помнит вся Россия
Про день Бородина!
— Да, были люди в наше время,
Не то, что нынешнее племя:
Богатыри — не вы!
Плохая им досталась доля:
Немногие вернулись с поля…
Не будь на то господня воля,
Не отдали б Москвы!
Мы долго молча отступали,
Досадно было, боя ждали,
Ворчали старики:
«Что ж мы? на зимние квартиры?
Не смеют, что ли, командиры
Чужие изорвать мундиры
О русские штыки?»
И вот нашли большое поле:
Есть разгуляться где на воле!
Построили редут.
У наших ушки на макушке!
Чуть утро осветило пушки
И леса синие верхушки —
Французы тут как тут.
Забил заряд я в пушку туго
И думал: угощу я друга!
Постой-ка, брат мусью!
Что тут хитрить, пожалуй к бою;
Уж мы пойдем ломить стеною,
Уж постоим мы головою
За родину свою!
Два дня мы были в перестрелке.
Что толку в этакой безделке?
Мы ждали третий день.
Повсюду стали слышны речи:
«Пора добраться до картечи!»
И вот на поле грозной сечи
Ночная пала тень.
Прилег вздремнуть я у лафета,
И слышно было до рассвета,
Как ликовал француз.
Но тих был наш бивак открытый:
Кто кивер чистил весь избитый,
Кто штык точил, ворча сердито,
Кусая длинный ус.
И только небо засветилось,
Все шумно вдруг зашевелилось,
Сверкнул за строем строй.
Полковник наш рожден был хватом:
Слуга царю, отец солдатам…
Да, жаль его: сражен булатом,
Он спит в земле сырой.
И молвил он, сверкнув очами:
«Ребята! не Москва ль за нами?
Умремте ж под Москвой,
Как наши братья умирали!»
И умереть мы обещали,
И клятву верности сдержали
Мы в Бородинский бой.
Ну ж был денек! Сквозь дым летучий
Французы двинулись, как тучи,
И всё на наш редут.
Уланы с пестрыми значками,
Драгуны с конскими хвостами,
Все промелькнули перед нами,
Все побывали тут.
Вам не видать таких сражений!..
Носились знамена, как тени,
В дыму огонь блестел,
Звучал булат, картечь визжала,
Рука бойцов колоть устала,
И ядрам пролетать мешала
Гора кровавых тел.
Изведал враг в тот день немало,
Что значит русский бой удалый,
Наш рукопашный бой!..
Земля тряслась — как наши груди,
Смешались в кучу кони, люди,
И залпы тысячи орудий
Слились в протяжный вой…
Вот смерклось. Были все готовы
Заутра бой затеять новый
И до конца стоять…
Вот затрещали барабаны —
И отступили бусурманы.
Тогда считать мы стали раны,
Товарищей считать.
Да, были люди в наше время,
Могучее, лихое племя:
Богатыри — не вы.
Плохая им досталась доля:
Немногие вернулись с поля.
Когда б на то не божья воля,
Не отдали б Москвы!",1,михаил лермонтов бородино сказать дядя даром москва спалить пожар француз отдать схватка боевой говорить недаром помнить весь россия день бородин человек наш время нынешний племя богатырь плохой достаться доля немногие вернуться поле господень воля отдать москва долго молча отступать досадно бой ждать ворчать старик зимний квартира сметь командир чужой изорвать мундир русский штыки найти большой поле разгуляться воля построить редут наш ушко макушка утро осветило пушка лес синий верхушка француз забить заряд пушка тугой думать угостить друг постоять брат мусь хитрить пожалуй бой пойти ломить стена постоять голова родина свой день перестрелка толк этакий безделка ждать третий день повсюду стать слышный речь пора добраться картечь поле грозный сеча ночной пасть тень прилечь вздремнуть лафет слышный рассвет ликовать француз тихий наш бивак открытый кивер чистить весь избить штык точить ворча сердито кусать длинный небо засветиться весь шумно зашевелиться сверкнуть строй строй полковник наш родить хват слуга царь отец солдат жаль сразить булат спать земля сырой молвить сверкнув око ребята москва умереть москва наш брат умирать умереть обещать клятва верность сдержать бородинский бой денек сквозь дым летучий француз двинуться туча весь наш редут улан пестрый значок драгун конский хвост весь промелькнуть весь побывать видать сражение носиться знамя тень дым огонь блестеть звучать булат картечь визжать рука боец колоть устать ядрам пролетать мешать гора кровавый тело изведать враг день немало значить русский бой удалый наш рукопашный бой земля трястись наш грудь смешаться куча конь человек залп тысяча орудие слиться протяжный вой смерклось весь готовый заутра бой затеять новый конец стоять затрещать барабан отступить бусурмана считать стать рана товарищ считать человек наш время могучий лихой племя богатырь плохой достаться доля немногие вернуться поле божий воля отдать москва
"7.Михаил Лермонтов - Смерть поэта
Отмщенье, государь, отмщенье!
Паду к ногам твоим:
Будь справедлив и накажи убийцу,
Чтоб казнь его в позднейшие века
Твой правый суд потомству возвестила,
Чтоб видели злодеи в ней пример.
Погиб поэт! — невольник чести —
Пал, оклеветанный молвой,
С свинцом в груди и жаждой мести,
Поникнув гордой головой!..
Не вынесла душа поэта
Позора мелочных обид,
Восстал он против мнений света
Один, как прежде… и убит!
Убит!.. К чему теперь рыданья,
Пустых похвал ненужный хор
И жалкий лепет оправданья?
Судьбы свершился приговор!
Не вы ль сперва так злобно гнали
Его свободный, смелый дар
И для потехи раздували
Чуть затаившийся пожар?
Что ж? веселитесь… Он мучений
Последних вынести не мог:
Угас, как светоч, дивный гений,
Увял торжественный венок.
Его убийца хладнокровно
Навел удар… спасенья нет:
Пустое сердце бьется ровно,
В руке не дрогнул пистолет.
И что за диво?.. издалека,
Подобный сотням беглецов,
На ловлю счастья и чинов
Заброшен к нам по воле рока;
Смеясь, он дерзко презирал
Земли чужой язык и нравы;
Не мог щадить он нашей славы;
Не мог понять в сей миг кровавый,
На что он руку поднимал!..
И он убит — и взят могилой,
Как тот певец, неведомый, но милый,
Добыча ревности глухой,
Воспетый им с такою чудной силой,
Сраженный, как и он, безжалостной рукой.
Зачем от мирных нег и дружбы простодушной
Вступил он в этот свет завистливый и душный
Для сердца вольного и пламенных страстей?
Зачем он руку дал клеветникам ничтожным,
Зачем поверил он словам и ласкам ложным,
Он, с юных лет постигнувший людей?..
И прежний сняв венок — они венец терновый,
Увитый лаврами, надели на него:
Но иглы тайные сурово
Язвили славное чело;
Отравлены его последние мгновенья
Коварным шепотом насмешливых невежд,
И умер он — с напрасной жаждой мщенья,
С досадой тайною обманутых надежд.
Замолкли звуки чудных песен,
Не раздаваться им опять:
Приют певца угрюм и тесен,
И на устах его печать.
А вы, надменные потомки
Известной подлостью прославленных отцов,
Пятою рабскою поправшие обломки
Игрою счастия обиженных родов!
Вы, жадною толпой стоящие у трона,
Свободы, Гения и Славы палачи!
Таитесь вы под сению закона,
Пред вами суд и правда — всё молчи!..
Но есть и божий суд, наперсники разврата!
Есть грозный суд: он ждет;
Он не доступен звону злата,
И мысли, и дела он знает наперед.
Тогда напрасно вы прибегнете к злословью:
Оно вам не поможет вновь,
И вы не смоете всей вашей черной кровью
Поэта праведную кровь!",1,михаил лермонтов смерть поэт отмщение государь отмщение пасть нога твой справедливый наказать убийца казнь позднейшие век твой правый суд потомство возвестить видеть злодей пример погибнуть поэт невольник честь пасть оклеветанный молва свинец грудь жажда месть поникнув гордый голова вынести душа поэт позор мелочный обида восстать против мнение свет прежде убить убить рыдание пустой похвала ненужный хор жалкий лепет оправдание судьба свершиться приговор сперва злобно гнать свободный смелый дар потеха раздувать затаиться пожар веселитесь мучение последний вынести мочь угаснуть светоч дивный гений увялый торжественный венок убийца хладнокровно навести удар спасение пустой сердце биться ровно рука дрогнуть пистолет диво издалека подобный сотня беглец ловля счастие чин забросить воля рок смеясь дерзко презирать земля чужой язык нрав мочь щадить наш слава мочь понять сей миг кровавый рука поднимать убить взять могила певец неведомый милый добыча ревность глухой воспеть чудной сила сразить безжалостный рука мирный нега дружба простодушный вступить свет завистливый душный сердце вольный пламенный страсть рука дать клеветник ничтожный поверить слово ласкам ложный юный год постичь человек прежний снять венок венец терновый увить лавра надеть игла тайный сурово язвить славный чело отравить последний мгновение коварный шепот насмешливый невежда умереть напрасный жажда мщение досада тайна обмануть надежда замолкнуть звук чудной песня раздаваться приют певец угрюмый тесный уста печать надменный потомок известный подлость прославить отец пятою рабский попрать обломок игрою счастие обидеть род жадною толпа стоить трон свобода гений слава палач таиться сение закон пред суд правда молчать божий суд наперсник разврат грозный суд ждать доступный звон злато мысль дело знать наперед напрасно прибегнуть злословие оно помочь вновь смыть весь ваш черный кровь поэт праведный кровь
8. Михаил Лермонтов - Родина,1,михаил лермонтов родина
"Люблю отчизну я, но странною любовью!
Не победит ее рассудок мой.
Ни слава, купленная кровью,
Ни полный гордого доверия покой,
Ни темной старины заветные преданья
Не шевелят во мне отрадного мечтанья.
Но я люблю — за что, не знаю сам —
Ее степей холодное молчанье,
Ее лесов безбрежных колыханье,
Разливы рек ее, подобные морям;
Проселочным путем люблю скакать в телеге
И, взором медленным пронзая ночи тень,
Встречать по сторонам, вздыхая о ночлеге,
Дрожащие огни печальных деревень;
Люблю дымок спаленной жнивы,
В степи ночующий обоз
И на холме средь желтой нивы
Чету белеющих берез.
С отрадой, многим незнакомой,
Я вижу полное гумно,
Избу, покрытую соломой,
С резными ставнями окно;
И в праздник, вечером росистым,
Смотреть до полночи готов
На пляску с топаньем и свистом
Под говор пьяных мужичков.",1,любить отчизна странный любовь победить рассудок слава купить кровь полный гордый доверие покой темный старина заветный предание шевелить отрадный мечтание любить знать степь холодный молчание лес безбрежный колыхание разлив река подобный море проселочный путем любить скакать телега взор медленный пронзая ночь тень встречать сторона вздыхая ночлег дрожать огонь печальный деревня любить дымок спалить жнива степь ночевать обоз холм средь желтый нива чета белеть береза отрада многий незнакомый видеть полный гумно изба покрыть солома резной ставнями окно праздник вечер росистым смотреть полночь готовый пляска топанье свист говор пьяный мужичок
9.Михаил Лермонтов - Парус,1,михаил лермонтов парус
"Белеет парус одинокой
В тумане моря голубом!..
Что ищет он в стране далекой?
Что кинул он в краю родном?..
Играют волны — ветер свищет,
И мачта гнется и скрыпит…
Увы! он счастия не ищет
И не от счастия бежит!
Под ним струя светлей лазури,
Над ним луч солнца золотой…
А он, мятежный, просит бури,
Как будто в бурях есть покой!",1,белеть парус одинокий туман море голубой искать страна далекий кинуть край родный играть волна ветер свистать мачта гнуться скрыпит увы счастие искать счастие бежать струя светлеть лазурь луч солнце золотой мятежный просить буря буря покой
"10.Михаил Лермонтов - Тучи 
Тучки небесные, вечные странники!
Степью лазурною, цепью жемчужною
Мчитесь вы, будто как я же, изгнанники
С милого севера в сторону южную.
Кто же вас гонит: судьбы ли решение?
Зависть ли тайная? злоба ль открытая?
Или на вас тяготит преступление?
Или друзей клевета ядовитая?
Нет, вам наскучили нивы бесплодные…
Чужды вам страсти и чужды страдания;
Вечно холодные, вечно свободные,
Нет у вас родины, нет вам изгнания.",1,михаил лермонтов туча тучка небесный вечный странник степью лазурный цепь жемчужный мчитесь изгнанники милый север сторона южный гнать судьба решение зависть тайный злоба открытый тяготить преступление друг клевета ядовитый наскучить нива бесплодный чуждый страсть чуждый страдание вечно холодный вечно свободный родина изгнание
